page_number,text,source
41,"34 harder for them to discern information that might be help- ful in making an investment decision. Investors stand to gain little if companies flood the market with information where the primary purpose of the disclosure is to deflect potential lawsuits rather than provide genuinely useful in- formation to the market. This Court has recognized the fact that increased dis- closure can often be counterproductive . When establish- ing a standard for materiality under Section 10(b) and Rule 10b-5, the Court has acknowledged that certain in- formation concerning corporate developments could well be of dubious significanc e. Basic, Inc. v. Levinson, 485 U.S. 224, 231 (1988) (internal quotation marks and citation omitted). The Court has thus taken care not to set too low a standard of materiality, which could lead manage- ment simply to bury the shareholders in an avalanche of trivial information a result that is hardly conducive to informed decisionmakin g. Ibid. ( internal quotation marks and citation omitted). The SEC, too, has recognized that unhelpful dynamic. For example, in 2013, the SEC Chair observed that, [w]hen disclosure gets to be too much or strays from its core purpose, it could lead to what some have called in- formation overload a phenomenon in which ever -in- creasing amounts of disclosure make it difficult for an in- vestor to wade through the volume of information she re- ceives to ferret out the information that is most relevant. Mary Jo White, Speech to the National Association of Corporate Dire ctors Leadership Conference: The Path Forward on Disclosure (Oct. 15, 2013) <tinyurl.com/ White2013speech>. Indeed, the philosophy that more disclosure is not necessarily better disclosure underpins the SECs recent efforts to rein in the length of risk dis- closures. See p. 32, supra. The Ninth Circuits approach",20240809133545974_23-980_petbrief.pdf
42,"35 effectively mandates overdisclosure despite this Courts and the SECs warnings to the contrary. Ironically, a companys disclosure of a previous event it considers immaterial could itself mislead investors by suggesting that the event carries more significance than it does. Under the Ninth Circuits approach, even if a company deemed the possibility of business harm from an event vanishingly small, it would nevertheless have a strong incentive to disclose it on the off chance that the event later proved more serious than anticipated. Any benefits from that regime are dwarfed by its costscosts the SEC itself has recognized. c. The Ninth Circuits approach would also harm public companies . Compliance with the Ninth Circuits standard would require companies to provide a laundry list of events dating back some unknown span of time in case one of those events later leads to business harm . That standard would be unworkable, turning the drafting process into a guessing game for public companies. It could also lead companies to disclose information that is not required under any affirmative disclosure rule for instance, a one-time discussion with regulators that never resulted in any enforcement action. The Risk Factors section mandated by Item 105 is not meant to be a catch- all requiring disclosure of previous events that the SEC has not elsewhere required to be disclosed. 3. The Ninth Circuits Approach Would Encourage Abusive Fraud-By-Hindsight Lawsuits By attaching significance to previous occurrences of the triggering event identified in a risk disclosure, even when those occurrences posed no evident risk of harm at the time of disclosure, the Ninth Circuits approach in- vites the very sort of abusive litigation Congress has acted to reduce. See Tellabs, Inc. v. Makor Issues &",20240809133545974_23-980_petbrief.pdf
43,"36 Rights, Ltd., 551 U.S. 308, 313 (2007) . That approach would transform the Risk Factors section of SEC filings into a minefield for public companies and a goldmine for plaintiffs. a. The Ninth Circuits approach allows a claim to pro- ceed if, despite presenting no anticipation of reputational or financial harm at the time of disclosure, a previous oc- currence of the triggering event identified in a risk disclo- sure later turns out to cause more serious harm than an- ticipated. Pet. App. 25a. As the Chamber of Commerce has explained (Cert. Br. 6), that approach would exacer- bate the recent trend toward event-driven litigation. Any- time an unexpected stock drop hits, all an enterprising plaintiff would need do is scour the companys risk disclo- sures from the last few years, find one that mentions a similar risk without disclosing the relevant triggering event, and claim fraud. This case epitomizes the problem. The news media re- ported Cambridge Analyticas misuse of data for the Cruz campaign in 2015, with no effect on Metas stock price. See p. 8 , supra. In 2016, when Meta published its 10 -K filing for fiscal year 2015, Meta made the exact same risk disclosures as the ones here. Facebook, Inc., Form 10-K, at 12 -13 (Jan. 28, 2016) <tinyurl.com/ 2015Facebook- 10K>. No one alleged that the disclosures were false or misleading then, despite contemporaneous reporting about Cambridge Analytica. It was only in 2018 after Cambridge Analyticas data misuse turned out to be more extensive than originally thought, and after Metas stock price droppedthat respondents alleged that Metas dis- closures fraudulently omitted the data misuse from 2015. The Ninth Circuits decision to allow this case to pro- ceed contravenes Section 10(b) and Rule 10b -5, which do not demand clairvoyance of public companies or allow plaintiffs to plead fraud by hindsight. Denny v. Barber,",20240809133545974_23-980_petbrief.pdf
44,"37 576 F.2d 465, 470 (2d Cir. 1978) (Friendly, J.); see Tellabs, 551 U.S. at 320. It also perversely imposes liability by foresight. If Meta had said nothing about the risk that third-party data misuse posed to its reputation and busi- ness, respondents would have no claim; it would have been a case of pure omission. See Macquarie, 601 U.S. at 260. Here, however, Meta correctly identified and disclosed the relevant risk to investors , only to face a securities class action. J.A. 438-439. It makes little sense that Meta would be at greater risk of private liability from comply- ing with Item 105 than from not disclosing the risk at all. In addition, the economic consequences of the Ninth Circuits approach are staggering. Public companies of- ten cannot afford to gamble on the ruinous liability that securities class actions can impose, leading to extortionate settlements if early dismissal is denied. In 2023, 190 se- curities cases reached resolution, with 100 being dis- missed before trial and 90 being settled. Edward Flores & Svetlana Starykh, NERA, Recent Trends in Securities Class Action Litigation: 2023 Full-Year Review 13 fig.11 & n.10 (Jan. 23, 2024). The aggregate total of those set- tlements was $3.9 billion, and the average settlement (af- ter controlling for a single $1 billion settlement) was $34 million. See id . at 18-19. The strong financial incentive for public companies to settle securities class actions, even for substantial amounts, underscores the need to weed out meritless claims as early as possible. b. Turning risk disclosures into a font of liability also makes little sense in light of the safe harbors from liability available where companies make meaningful, forward - looking disclosures. Even before the SEC required public companies to in- clude risk disclosures in their 10 -K filings, many compa- nies issued similar disclosures to accompany other state- ments and thereby immunize them from liability under",20240809133545974_23-980_petbrief.pdf
45,"38 the PSLRAs statutory safe harbor for forward -looking statements and the common-law bespeaks caution doc- trine. The PSLRAs safe harbor provides that a company shall not be liable for making a statement that is iden- tified as a forward-looking statement, and is accompanied by meaningful cautionary statements identifying im- portant factors that could cause actual results to di ffer materially from those in the forward -looking statement. 15 U.S.C. 78u -5(c)(1)(A)(i). T he bespeaks -caution doc- trine similarly shields companies * * * from liability when they make statements that are forward-looking and accompanied by meaningful cautionary language. Ko- lominsky v. Root, Inc. , 100 F.4th 675, 688- 689 (6th Cir. 2024). The Ninth Circuits approach renders those doctrines inapplicable to most forward -looking risk disclosures. That is because the Ninth Circuit hitched the availability of those protective doctrines to its theory of falsity, hold- ing that the PSLRA safe harbor is unavailable for for- ward-looking risk statements where the company knows of a risk of harm from a previous occurrence of the speci- fied triggering event but fails to disclose it. See Pet. App. 28a; accord Rombach v. Chang, 355 F.3d 164, 173 (2d Cir. 2004). Congress enacted the PSLRAs safe harbor to en- courage companies to offer forward -looking projections without having to fear a lawsuit every time the projection proves wrong. The Ninth Circuits approach reintroduces the very evil Congress sought to correct, and it will disin- centivize companies from making forward-looking projec- tionsto the detriment of investors and public companies alike.",20240809133545974_23-980_petbrief.pdf
46,"39 D. Petitioners Would Prevail Even Under The Mistaken View That A Risk Disclosure Can Be Misleading When The Company Knows That The Warned-Of Risk Is Al- most Certain To Materialize Unlike the Ninth Circuit in the decision below, some courts of appeals have held that a forward -looking, prob- abilistic risk disclosure under Item 105 can be misleading if the company knows that the warned -of risk is almost certain to materialize. In those courts, the question is not whether the specified triggering event has ever occurred in the past, but instead whether a previous occurrence of the triggering event is virtually certain to result in the warned of harm to [the companys] business. Ind iana Public Retirement System v. Pluralsight, Inc., 45 F.4th 1236, 1256 (10th Cir. 2022) ; see, e.g., Karth v. Keryx Bio- pharmaceuticals, Inc., 6 F.4th 123, 139 (1st Cir. 2021); Set Capital LLC v. Credit Suisse Group AG, 996 F.3d 64, 85- 86 (2d Cir. 2021) . Those courts thus interpret forward - looking, probabilistic risk disclosures as implicitly certify- ing that the company is unaware of any previous occur- rences of the triggering event that are almost certain to cause the warned-of harm to the companys business. That approach, while ultimately flawed, certainly has more to recommend it than the Ninth Circuits approach. The virtual certainty standard is arguably more aligned with the actual wording of typical risk disclosures, be- cause it recognizes that those statements do not imply that the triggering event had never occurred in the past . See p. 24, supra. And b ecause the virtual certainty standard would not require a company to disclose all re- cent instances of the triggering event for a warned-of risk having occurred, it would avoid the worst of the practical problems created by the Ninth Circuits standard. See pp. 32-35, supra.",20240809133545974_23-980_petbrief.pdf
47,"40 Still, the virtual certainty standard is flawed for two principal reasons. First, a reasonable investor would not infer anything regarding the current state of a corpora- tions compliance, safety, or other operations from a state- ment intended to educate the investor on future harms. Bondali, 620 Fed. Appx. at 491. Instead, the reasonable investor would understand the companys statement to mean what it says: that, if the triggering event were to occur in the future, business harm could result. See pp. 21-25, supra. Second, the virtual certainty standard improperly conflates the elements of falsity and scienter. Whether a statement is misleading depends on how a reasonable in- vestor would read the language of a particular statement in the context in which it is made. A factual statement that gives the reasonable investor an incorrect impression of the true state of affairs is misleading whether or not the speaker knows the true state of affairs. The virtual cer- tainty standard improperly blends the element of falsity with the element of scienter by making falsity depend in part on the state of the speakers knowledge. Ultimately, however, any disagreement between the courts of appeals that have adopted the virtual certainty standard and the Ninth Circuit is of no moment here, be- cause petitioners would prevail in this case even under the virtual certainty standard. As the case comes to the Court, respondents only remaining theory of liability in- volves Cambridge Analyticas use of F acebook user data to support the Cruz campaign in 2015. Earlier in the liti- gation, respondents also argued that Metas risk disclo- sures were misleading because petitioners knew that Cambridge Analytica had secretly continued to use the misappropriated data in support of the Trump campaign in 2016, despite certifying that it had deleted the data. See p. 11, supra. The district court, however, dismissed that",20240809133545974_23-980_petbrief.pdf
48,"41 theory on the ground that respondents had failed suffi- ciently to allege that anyone responsible for the state- ments knew of Cambridge Analyticas ongoing misuse of the data after giving respondents multiple chances to amend their complaint to do so. See Pet. App. 123a. On appeal, respondents expressly abandoned that theory. See Resp. C.A. Reply Br. 3 n.1; p. 12, supra. As a result, the only way that Metas risk disclosures could be misleading under the virtual certainty stand- ard is if Meta knew that Cambridge Analyticas misuse of Facebook user data in 2015 in support of the Cruz cam- paign was virtually certain to cause business harm after February 2017, when Meta made its 2016 10-K filing. But Cambridge Analyticas use of the data in support of the Cruz campaign had been public ly known since late 2015, and Meta experienced no drop in stock price or other ma- terial business harm after the news broke. See p. 8 , su- pra. The complaint contains no allegations supporting an inference that any harm from that misuse was virtually certain to materialize more than a year later, much less that Meta knew about any such harm. Even under the approach adopted by those other courts of appeals, there- fore, petitioners would still prevail. 4 4 At one point in its analysis, the Ninth Circuit suggested that, when Meta made its 2016 10-K filing, it knew that Cambridge Analy- ticas actions would cause future business harm, even if it did not know the magnitude of the ensuing harm. Pet. App. 24a -25a. But as the Ninth Circuit ultimately explained, the basis for its holding that the statements were misleading was the fact of the [data] breach it- self, rather than the anticipation of reputation al or financial harm. Id. at 25a. In addition, the courts passing suggestion seemed to en- compass Metas knowledge with respect to not only the Cruz cam- paigns use of the data in 2015 but also the Trump campaigns use in 2016. To the extent the Ninth Circuit considered that later misuse, it was erroneous in light of respondents abandonment of their ongoing-",20240809133545974_23-980_petbrief.pdf
49,"42 * * * * * No reasonable investor would interpret a typical risk disclosure under Item 105 as implicitly suggesting that the specified triggering event had never previously oc- curred and that no such previous occurrence presented a risk of harm to the company. Such forward-looking, prob- abilistic disclosures convey only information about risks posed by future events. The Ninth Circuits contrary ap- proach contravenes the language of Section 10(b) and Rule 10b-5(b), and it harms investors and public compa- nies by incentivizing overdisclosure and spurring merit- less litigation. The Court should reject the Ninth Circuits approach and hold that no reasonable investor would have been misled by Metas risk disclosures merely beca use they did not disclose Cambridge Analyticas previous mis- use of Facebook user data. That result is warranted un- der both the correct approach articulated by petitioners here and under the alternative, but mistaken, view adopted by some other courts of appeals. Either way, the Ninth Circuits decision cannot stand. misuse theory on appeal (and also their failure to plead scienter with respect to that misuse). See p. 12, supra.",20240809133545974_23-980_petbrief.pdf
50,"43 CONCLUSION The judgment of the court of appeals should be re- versed. Respectfully submitted. JOSHUA S. LIPSHUTZ KATHERINE MORAN MEEKS TRENTON VAN OSS GIBSON, DUNN & CRUTCHER LLP 1050 Connecticut Avenue, N.W. Washington, DC 20036 BRIAN M. LUTZ MICHAEL J. KAHN PATRICK J. FUSTER GIBSON, DUNN & CRUTCHER LLP One Embarcadero Center, Suite 2600 San Francisco, CA 94111 KANNON K. SHANMUGAM WILLIAM T. MARKS MATTEO GODI ANNA P. LIPIN JAKE L. KRAMER PAUL, WEISS, RIFKIND, WHARTON & GARRISON LLP 2001 K Street, N.W. Washington, DC 20006 (202) 223-7300 kshanmugam@paulweiss.com AUDRA J. SOLOWAY KRISTINA A. BUNTING PAUL, WEISS, RIFKIND, WHARTON & GARRISON LLP 1285 Avenue of the Americas New York, NY 10019 AUGUST 2024",20240809133545974_23-980_petbrief.pdf
51,APPENDIX,20240809133545974_23-980_petbrief.pdf
52,TABLE OF CONTENTS Page Statutory and regulatory provisions: 15 U.S.C. 78j ......................................................................... 1a 17 C.F.R. 240.10b-5 .............................................................. 1a 17 C.F.R. 229.105 .................................................................. 2a,20240809133545974_23-980_petbrief.pdf
53,"(1a) 1. 15 U.S.C. 78j provides in relevant part: It shall be unlawful for any person, directly or indi- rectly, by the use of any means or instrumentality of interstate commerce or of the mails, or of any facility of any national securities exchange * * * (b) To use or employ, in connection with the purchase or sale of any security registered on a national securi- ties exchange or any security not so registered, or any securities-based swap agreement 1 any manipulative or deceptive device or contrivance in contravention of such rules and regulations as the Commission may prescribe as necessary or appropriate in the public in- terest or for the protection of investors. 1 So in original. Probably should be followed by a comma. 2. 17 C.F.R. 240.10b-5 provides: It shall be unlawful for any person, directly or indi- rectly, by the use of any means or instrumentality of interstate commerce, or of the mails or of any facility of any national securities exchange, (a) To employ any device, scheme, or artifice to de- fraud, (b) To make any untrue statement of a material fact or to omit to state a material fact necessary in order to make the statements made, in the light of the circum- stances under which they were made, not misleading, or",20240809133545974_23-980_petbrief.pdf
54,"2a (c) To engage in any act, practice, or course of busi- ness which operates or would operate as a fraud or de- ceit upon any person, in connection with the purchase or sale of any security. 3. 17 C.F.R. 229.105 provides: (a) Where appropriate, provide under the caption Risk Factors a discussion of the material factors that make an investment in the registrant or offering speculative or risky. This discussion must be orga- nized logically with relevant headings and each risk factor should be set forth under a subcaption that ad- equately describes the risk. The presentation of risks that could apply generically to any registrant or any offering is discouraged, but to the extent generic risk factors are presented, disclose th em at the end of the risk factor section under the caption General Risk Factors. (b) Concisely explain how each risk affects the regis- trant or the securities being offered. If the discussion is longer than 15 pages, include in the forepart of the prospectus or annual report, as applicable, a series of concise, bulleted or numbered statements that is no more than two pages summarizing the principal fac- tors that make an investm ent in the registrant or of- fering speculative or risky. If the risk factor discus- sion is included in a registration statement, it must im- mediately follow the summ ary section required by  229.503 (Item 503 of Regulation S -K). If you do not include a summary section, the risk factor section must immediately follow the cover page of the pro- spectus or the pricing information section that imme- diately follows the cover page. Pricing information means price and price -related information that you",20240809133545974_23-980_petbrief.pdf
55,3a may omit from the prospectus in an effective registra- tion statement based on Rule 430A ( 230.430A of this chapter). The registrant must furnish this information in plain English. See  230.421(d) of Regulation C of this chapter.,20240809133545974_23-980_petbrief.pdf
1,"1 (Slip Opinion) OCTOBER TERM, 2023 Syllabus NOTE: Where it is feasible, a syllabus (headnote) will be released, as is being done in connection with this case, at the time the opinion is issued. The syllabus constitutes no part of the opinion of the Court but has been prepared by the Reporter of Decisions for the convenience of the reader. See United States v. Detroit Timber & Lumber Co., 200 U. S. 321, 337. SUPREME COURT OF THE UNITED STATES Syllabus MACQUARIE INFRASTRUCTURE CORP. ET AL. v. MOAB PARTNERS, L. P., ET AL. CERTIORARI TO THE UNITED STATES COURT OF APPEALS FOR THE SECOND CIRCUIT No. 221165. Argued January 16, 2024Decided April 12, 2024 Petitioner Macquarie Infrastructure Corporation owns a subsidiary that operates terminals to store bulk liquid commodities, including No. 6 fuel oil, a byproduct of the refining process with a typical sulfur content close to 3%. In 2016, the United Nations International Maritime Or - ganization formally adopted IMO 2020, a regulation capping the sulfur content of fuel oil used in shipping at 0.5% by 2020. In the ensuing years, Macquarie did not discuss IMO 2020 in its public offering docu- ments. In February 2018, however, Macquarie announced a drop in the amount of storage contracted for use by its subsidiary due in part to the decline in the No. 6 fuel oil market. Macquaries stock price fell 41%. In response, Moab Partners, L. P., sued Macquarie and various of- ficer defendants. Moab alleged, among other things, that Macquarie violated Securities and Exchange Commission Rule 10b5(b)which makes it unlawful to omit material facts in connection with buying or selling securities when that omission renders statements made mis- leadingbecause it had a duty to disclose the IMO 2020 information under Item 303 of SEC Regulation SK. Item 303 requires companies to disclose known trends or uncertainties that have had or that are reasonably likely to have a material favorable or unfavorable impact on net sales or revenues or income from continuing operations in pe- riodic filings with the SEC. 17 CF R 229.303(b)(2)(ii). The District Court dismissed Moabs complaint. The Second Circuit reversed, con- cluding in part that Moabs allegations concerning the likely material effect of IMO 2020 gave rise to a duty to disclose under Item 303, and Macquaries Item 303 violation alone could sustain Moabs 10(b) and Rule 10b5 claim. See 2022 WL 17815767, *1*2.",22-1165_10n2.pdf
2,"2 MACQUARIE INFRASTRUCTURE CORP. v. MOAB PARTNERS, L. P. Syllabus Held: Pure omissions are not actionable under Rule 10b5(b). Rule 10b 5(b) makes it unlawful [t]o make any untrue statement of a material fact or to omit to state a material fact necessary in order to make the statements made, in the light of the circumstances under which they were made, not misleading. 17 CFR 240.10b5(b). In addition to prohibiting any untrue statement of a material facti.e., false state- ments or liesthe Rule also prohibit s omitting a material fact neces- sary to make the statements made . . . not misleading. Ibid. This case turns on whether this second prohibition bars only half-truths or instead extends to pure omissions. A pure omission occurs when a speaker says nothing, in circum - stances that do not give any special significance to that silence. Half- truths, on the other hand, are representations that state the truth only so far as it goes, while omitti ng critical qualifying information. Universal Health Services, Inc. v. United States ex rel. Escobar, 579 U. S. 176, 188. Rule 10b5(b) requires disclosure of information nec - essary to ensure that statements already made are clear and complete. Logically and by its plain text, Rule 10b5(b) therefore covers half- truths, not pure omissions, because it requires identifying affirmative assertions (i.e., statements made) before determining if other facts are needed to make those statements not misleading. Statutory context confirms what the text plainly provides. Section 11(a) of the Securities Act of 1933 prohibits any registration statement that omit[s] to state a material fact required to be stated therein. 15 U . S . C .  7 7 k ( a ) . B y i t s t e r m s , 11(a) creates liability for failure to speak. Neither 10(b) nor Rule 10b5(b) contains language similar to 11(a), and that omission is telling. Silence, absent a duty to disclose, is not misleading under Rule 10b5. Basic Inc. v. Levinson, 485 U. S. 224, 239, n. 17. A duty to disclose, however, does not automatically render silence misleading under Rule 10b5(b). The failure to disclose information required by Item 303 can support a Rule 10b5(b) claim only if the omission ren - ders affirmative statements made misleading. Moab and the United States suggest that a plaintiff does not need to plead any statements rendered misleading by a pure omission because reasonable investors know that the Exchange Act requires issuers to file periodic informa- tional statements in which compan ies must furnish the information required by Item 303. But that argument reads the words statements made out of Rule 10b5(b) and shifts the focus of that Rule and 10(b) from fraud to disclosure. See Chiarella v. United States, 445 U. S. 222, 234235 (Section 10(b) is aptly described as a catchall provision, but what it catches must be fraud). Moab also contends that without pri- vate liability for pure omissions under Rule 10b5(b), there will be broad immunity any time an issu er fraudulently omits information",22-1165_10n2.pdf
3,"3 Cite as: 601 U. S. ____ (2024) Syllabus Congress and the SEC require it to disclose. Brief for Respondent Moab Partners 1. But private parties remain free to bring claims based on Item 303 violations that create misleading half-truths, and the SEC retains authority to prosecute violations of its own rules and regulations, including Item 303. Pp. 48. Vacated and remanded. SOTOMAYOR, J., delivered the opinion for a unanimous Court.",22-1165_10n2.pdf
4,"_________________ _________________ 1 Cite as: 601 U. S. ____ (2024) Opinion of the Court NOTICE: This opinion is subject to formal revision before publication in the United States Reports. Readers are requested to notify the Reporter of Decisions, Supreme Court of the Unit ed States, Washingt on, D. C. 20543, pio@supremecourt.gov, of any typographical or other formal errors. SUPREME COURT OF THE UNITED STATES No. 221165 MACQUARIE INFRASTRUCTURE CORPORATION, ET AL., PETITIONERS v. MOAB PARTNERS, L. P., ET AL. ON WRIT OF CERTIORARI TO THE UNITED STATES COURT OF APPEALS FOR THE SECOND CIRCUIT [April 12, 2024] JUSTICE SOTOMAYOR delivered the opinion of the Court. Securities and Exchange Commission (SEC) Rule 10b 5(b) makes it unlawful to omit material facts in connection with buying or selling securities when that omission ren- ders statements made misleading. Separately, Item 303 of SEC Regulation SK requires companies to disclose cer- tain information in periodic filings with the SEC. The ques- tion in this case is whether the failure to disclose infor- mation required by Item 303 can support a private action under Rule 10b5(b), even if the failure does not render any statements made misleading. The Court holds that it can- not. Pure omissions are not actionable under Rule 10b 5(b). I A Section 10(b) of the Securities Exchange Act of 1934 makes it unlawful for any person . . . [t]o use or employ, in connection with the purchase or sale of any security . . . [,] any manipulative or deceptive device or contrivance in con- travention of such rules and regulations as the [SEC] may prescribe. 48 Stat. 891, 15 U. S. C. 78j(b). Rule 10b5",22-1165_10n2.pdf
5,"2 MACQUARIE INFRASTRUCTURE CORP. v. MOAB PARTNERS, L. P. Opinion of the Court implements this prohibition and makes it unlawful for is- suers of registered securities to make any untrue state- ment of a material fact or to omit to state a material fact necessary in order to make the statements made, in the light of the circumstances under which they were made, not misleading. 17 CFR 240.10b5(b) (2022). This Court has found a right of action implied in the words of [10(b)] and its implementing regulation. Stoneridge Investment Part- ners, LLC v. Scientific-Atlanta, Inc. , 552 U. S. 148, 157 (2008). Section 13(a) of the Exchange Act requires issuers to file periodic informational statements. See 15 U. S. C. 78m(a)(1), 78l(b)(1). These statements include the Man- agements Discussion and Analysis of Financial Conditions and Results of Operation (MD&A), in which companies must [f]urnish the information required by Item 303 of Regulation SK. See SEC Form 10K; SEC Form 10Q. Item 303, in turn, requires companies to [d]escribe any known trends or uncertainties that have had or that are reasonably likely to have a material favorable or unfavora- ble impact on net sales or revenues or income from contin- uing operations. 17 CFR 229.303(b)(2)(ii) (2022). B Macquarie Infrastructure Corporation owns infrastruc- ture-related businesses, including a subsidiary that oper- ates large bulk liquid storage terminals within the United States. These terminals handle and store liquid commodi- ties, such as petroleum, biofuels, chemicals, and oil prod- ucts. One liquid commodity stored in these terminals is No. 6 fuel oil, a high-sulfur fuel oil that is a byproduct of the refining process. In 2016, the United Nations Interna- tional Maritime Organization formally adopted IMO 2020, a regulation that capped the sulfur content of fuel oil used in shipping at 0.5% by the beginning of 2020. No. 6 fuel oil typically has a sulfur content closer to 3%. In the ensuing",22-1165_10n2.pdf
6,"3 Cite as: 601 U. S. ____ (2024) Opinion of the Court years, Macquarie did not discuss IMO 2020 in its public of- fering documents. In February 2018, however, Macquarie announced that the amount of storage capacity contracted for use by its subsidiarys customers had dropped in part because of the structural decline in the No. 6 fuel oil mar- ket. Macquaries stock price fell around 41%. Moab Partners, L. P. sued Macquarie and various officer defendants, alleging, among other things, a violation of 10(b) and Rule 10b5. The crux of Moabs argument was that Macquaries public stat ements were false and mis - leading because it concealed from investors that [its sub- sidiarys] single largest product . . . was No. 6 fuel oil, which faced a near-cataclysmic ban on the bulk of its worldwide use through IMO 2020. City of Riviera Beach Gen. Employees Retirement System v. Macquarie Infra- structure Corp., 2021 WL 4084572, *6 (SDNY, Sept. 7, 2021) (internal quotation marks omitted). In Moabs view, Mac- quarie had a duty to disclose the extent to which [its sub- sidiarys] storage capacity wa s devoted to No. 6 fuel oil, ibid., but instead, Macquarie violated disclosure obliga- tions under Item 303, id ., at *10, and therefore violated 10(b) and Rule 10b5. The District Court dismissed Moabs complaint, concluding in relevant part that Moab had not actually plead[ed] an uncertainty that should have been disclosed or in what SEC filing or filings Defendants were supposed to disclose it. Ibid. The Second Circuit reversed. The court reasoned that there are two circumstances which impose a duty on a cor- poration to disclose omitted facts. 2022 WL 17815767, *1 (Dec. 20, 2022). First, a duty arises when there is  a stat- ute or regulation requiring disc losure, . . . such as Ite[m] 303. Ibid. (quoting Stratte-McClure v. Morgan Stanley , 776 F. 3d 94, 101 (CA2 2015)). Second, [e]ven when there is no existing independent duty to disclose information, once a company speaks on an issue or topic, there is a duty to tell the whole truth. 2022 WL 17815767, *1 (internal",22-1165_10n2.pdf
7,"4 MACQUARIE INFRASTRUCTURE CORP. v. MOAB PARTNERS, L. P. Opinion of the Court quotation marks omitted). Crediting [Moabs] allegations as true, IMO 2020s significant restriction of No. 6 fuel oil use was known to [Macquarie] and reasonably likely to have material effects on [Macquaries] financial condition or results of operation. Id., at *3. Because Moab had ad- equately alleged a known trend[ ] or uncertaint[y] that gave rise to a duty to disclose under Item 303, id., at *2 (alterations in original), the court applied its binding prec - edent to conclude that Macquaries Item 303 violation alone could sustain Moabs 10(b) and Rule 10b5 claim. See ibid. (The failure to make a material disclosure required by Item 303 can serve as the basis . . . for a claim under Section 10(b)). The courts of appeals disagree on whether a failure to make a disclosure required by Item 303 can support a pri- vate claim under 10(b) and Rule 10b5(b) in the absence of an otherwise-misleading statement. 1 This Court granted certiorari to resolve that disagreement. 600 U. S. ___ (2023). II Rule 10b5(b) makes it unlawful [t]o make any untrue statement of a material fact or to omit to state a material fact necessary in order to make the statements made, in the light of the circumstances under which they were made, not misleading. 17 CFR 240.10b5(b). This Rule accom- plishes two things. It prohibits any untrue statement of a material facti.e., false statements or lies. Ibid. It also  1 Compare Stratte-McClure v. Morgan Stanley, 776 F. 3d 94, 101 (CA2 2015) (Item 303s affirmative duty to disclose in Form 10Qs can serve as the basis for a securities fraud claim under Section 10(b)), with In re Nvidia, 768 F. 3d 1046, 1056 (CA9 2014) (Item 303 does not create a duty to disclose for purposes of Section 10(b) and Rule 10b5); see also Oran v. Stafford, 226 F. 3d 275, 288 (CA3 2000) ([T]he demonstration of a violation of the disclosure requirements of Item 303 does not lead inevitably to the conclusion that such disclosure would be required under Rule 10b5. Such a duty to disclose must be separately shown ).",22-1165_10n2.pdf
8,"5 Cite as: 601 U. S. ____ (2024) Opinion of the Court prohibits omitting a material fact necessary to make the statements made . . . not misleading. Ibid. This case turns on whether this second prohibition bars only half-truths or instead extends to pure omissions. A pure omission occurs when a speaker says nothing, in circumstances that do not give any particular meaning to that silence. Take the simplest example. If a company fails entirely to file an MD&A, th en the omission of particular information required in the MD&A has no special signifi- cance because no information was disclosed. Half-truths, on the other hand, are representations that state the truth only so far as it goes, while omitting critical qualifying in- formation. Universal Health Services, Inc. v. United States ex rel. Escobar , 579 U. S. 176, 188 (2016); see also Om- nicare, Inc. v. Laborers Dist. Council Constr. Industry Pen- sion Fund, 575 U. S. 175, 192 (2015) ([L]iteral accuracy is not enough: An issuer must as well desist from misleading investors by saying one thing and holding back another). A classic example of an acti onable half-truth in contract law is the seller who reveals that there may be two new roads near a property he is selling, but fails to disclose that a third potential road might bisect the property. Universal Health Services, 579 U. S., at 188189. In other words, the difference between a pure omission and a half-truth is the difference between a child not telling his parents he ate a whole cake and telling them he had dessert. Rule 10b5(b) does not proscribe pure omissions. The Rule prohibits omitting material facts necessary to make the statements made . . . not misleading. Put differently, it requires disclosure of information necessary to ensure that statements already made are clear and complete (i. e., that the dessert was, in fact, a whole cake). This Rule there- fore covers half-truths, not pu re omissions. Logically and by its plain text, the Rule requires identifying affirmative assertions ( i.e., statements made) before determining if",22-1165_10n2.pdf
